courseName	universityName	facultyName	isItFullTime	description	startDate	fees	modality	duration	city	country	administration	url
3D Design for Virtual Environments - MSc	Glasgow Caledonian University	School of Engineering and Built Environment	Full time	3D visualisation and animation play a role in many areas, and the popularity of these media just keeps growing. Digital animation provides the eye-catching special effects in the 21st century's favourite films and television shows; 3D design is also essential to everyday work in everything from computer games development, online virtual world development and industrial design to marketing, product design and architecture.GCU's programme in 3D Design for Virtual Environments will help you develop the skills to thrive in a successful career as a visual designer. The programme is practical and career-focused, oriented towards current industry needs, technology and practice. No prior knowledge of 3D design is required.	September	Please see the university website for further information on fees for this course.		1 year full-time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/3d-design-for-virtual-environments-msc/?i93d2645c19223
Accounting and Finance - MSc	University of Leeds	Leeds University Business School	Full time	Businesses and governments rely on sound financial knowledge to underpin their strategies for success.This course will kick-start your professional career, providing you with advanced knowledge of modern financial theories, accounting practices and controls, as well as an understanding of the organisational context.You'll cover fundamental topics such as corporate finance and corporate reporting. Optional modules will allow you specialise your knowledge, ranging from international business finance to forensic accounting. You’ll also be able to apply your learning to practical case studies and simulations to test your knowledge in genuine business scenarios.	September	UK: £18,000 (Total) International: £34,750 (Total)		1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-and-finance-msc/?i321d3232c3891
Accounting, Accountability & Financial Management MSc	King’s College London	King’s Business School	Full time	Our Accounting, Accountability & Financial Management MSc course will provide you with an advanced understanding of the economic, technical and institutional foundations of accounting and financial management.You'll explore the importance of accountability and information, corporate governance, and ethics in global financial markets. With an undergraduate degree in a relevant social science subject, you'll be ready to tackle the intellectually challenging world of finance.Through a combination of core modules and your own choice of management areas, you'll come away fully equipped to thrive in any industry you choose to go into.	September	Please see the university website for further information on fees for this course.		1 year FT	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-accountability-and-financial-management-msc/?i132d7816c25522
Accounting, Financial Management and Digital Business - MSc	University of Reading	Henley Business School	Full time	Embark on a professional accounting career with academic grounding.The MSc programme is distinctive in its international flavour. It focuses on the international business concepts needed for analysing global business challenges. Offering a critical understanding of current management theories and global accounting practices, it also covers issues relating to international strategic management, plus managing people and organisations. Additionally, it includes global financial reporting, corporate governance, ethics and the fundamentals of marketing.	September	Please see the university website for further information on fees for this course.		1 year full time	Reading	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-financial-management-and-digital-business-msc/?i345d4286c351
Addictions MSc	King’s College London	Institute of Psychiatry, Psychology and Neuroscience	Full time	Join us for an online session for prospective students to find out about our MSc Addictions course. The online session will take placeWednesday 17th May 12 - 12.45pm.Book onlineOur Addiction Studies course provides postgraduate education in addictions, with a particular emphasis on recent biological, psychological and socio-environmental advances in the conceptualisation of drug use and addiction and its effective prevention. Your theoretical understanding of the subject will be positioned within the context of policy development, focusing on facilitating the transfer of knowledge and skills to the workplace.	September	Please see the university website for further information on fees for this course.		One year FT	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/addictions-msc/?i132d4318c27100
Advanced Chemical Engineering - MSc	University of Leeds	School of Chemical and Process Engineering	Full time	The Advanced Chemical Engineering MSc at Leeds will build on the core foundations you’ve learned already in chemical engineering, advancing your skills in this continually evolving discipline.The course has been specifically designed to provide greater depth in aspects of advanced chemical engineering and a range of up-to-date process technologies. These will enable you to design, operate and manage processes and associated manufacturing plants whilst providing leadership in innovation, research and development and technology transfer.	September	UK: £13,750 (Total) International: £31,000 (Total)		1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-chemical-engineering-msc/?i321d8433c50447
Advanced Master in Financial Markets	Solvay Brussels School	Economics and Management	Full time	The Advanced Master in Financial Markets offers a complementary education in finance and financial markets to the curricula of classic graduate programmes in finance or economics. It focuses on creating bridges between theory and practice, as well as on the policy and strategic aspects of the current financial context.The Advanced Master in Financial Markets is designed to give students a much deeper understanding of financial markets than the one offered by graduate or classic post-graduate courses.	September	18.000 €		1 year	Brussels	Belgium	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-master-in-financial-markets/?i1298d6514c28542
Advanced Master in Innovation & Strategic Management	Solvay Brussels School	Economics and Management	Full time	The Advanced Master in Innovation & Strategic Management will provide students with the tools, skills and mindset needed to deal with the challenge of fast-evolving organisations. It helps students to develop their managerial abilities, to analyse complex challenges and influence their environment early on in their careers. It covers the main management disciplines and embraces innovation in all its aspects, from technological, thanks to a real understanding of social media, new products and services, to new business models and organisational forms.3 minors: Entrepreneurship, Business Analytics and	September	18.000 €		10 months	Brussels	Belgium	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-master-in-innovation-and-strategic-management/?i1298d6514c28544
Advanced Physiotherapy Practice - MSc	Glasgow Caledonian University	School of Health and Life Sciences	Full time	Progress your career as a physiotherapist within the NHS, private sector and in other health and social care settings. Take existing skills in health and social care and apply them to research, clinical assessment, analysis and insight.Learn in state-of-the-art facilities, study the latest in clinical research and get leading-edge training in our MSc Physiotherapy course. GCU collaborates with industry to bring a cutting-edge course of study to physiotherapists seeking to advance their careers. The course is delivered by practising experts, specialists and academics – and informed by the latest developments in the field.	January, September	Please see the university website for further information on fees for this course.		1 Year Full Time / 2-3 Years Part Time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-physiotherapy-practice-msc/?i93d2635c71983
Agricultural Sciences - MSc (Agriculture and Forestry)	University of Helsinki	International Masters Degree Programmes	Full time	Would you like to be involved in finding solutions to future challenges of food and energy production, such as climate change, population growth and limited energy resources? Are you interested in animal welfare, clean soil, environmental issues or the newest methods in biological and genetic engineering? Would you like to learn about automation and robotics in agriculture?Join the Master’s Programme in Agricultural Sciences on theViikki Campusto find solutions for the challenges of today and tomorrow. The University of Helsinki is the only university in Finland to offer academic education in this	September	Tuition fee per year (non-EU/EEA students): 15000 €		2 years	Helsinki	Finland	On Campus	https://www.findamasters.com/masters-degrees/course/agricultural-sciences-msc-agriculture-and-forestry/?i312d6223c45169
Agricultural, Environmental and Resource Economics - MSc (Agriculture and Forestry)	University of Helsinki	International Masters Degree Programmes	Full time	Are you looking forward to a future as an expert in Agricultural, Environmental and Resource Economics? As a graduate of our Master’s Programme in Agricultural, Environmental and Resource Economics, you can find employment in the national or international market, for example at universities, research institutes, the public sector or in business, or you can become a self-employed entrepreneur.The Viikki Campus offers optimal resources for studying the unique range of subjects offered by our programme. Upon graduating you will be a professional in applied economics in agricultural, environmental and resource-focused fields. You will be well versed in topics such as climate policy, sustainable agriculture and food security.	September	Tuition fee per year (non-EU/EEA students): 15000 €		2 years	Helsinki	Finland	On Campus	https://www.findamasters.com/masters-degrees/course/agricultural-environmental-and-resource-economics-msc-agriculture-and-forestry/?i312d6223c45168
Air Quality Solutions - MSc	University of Leeds	Institute for Transport Studies	Full time	Up to 7 million people are estimated to die every year due to the harmful effects of air pollution. Degradation in air quality is now the leading environmental cause of premature mortality - exceeding deaths due to unsafe drinking water, malaria and HIV combined. Understanding the factors controlling the emission, processing and fate of air pollutants is vital to effectively mitigate these harmful effects and to assess the effectiveness of policy	September	UK: £12,500 (Total) International: £28,750 (Total)		1 year full time, 2 or 3 years part-time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/air-quality-solutions-msc/?i321d1045c71834
Analytical Toxicology MSc	King’s College London	Faculty of Life Sciences & Medicine	Full time	The Analytical Toxicology MSc is a unique study course that integrates theoretical and practical aspects of analytical science with clinical and forensic toxicology. This course will provide you with a detailed knowledge and comprehensive understanding of advanced analytical toxicology and its applications.	See Course	Please see the university website for further information on fees for this course.		Full-time: One year	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/analytical-toxicology-msc/?i132d4846c14767
Applied Computer Science and Artificial Intelligence - MSc	University of Bradford	Faculty of Engineering & Digital Technologies	Full time	Computer science is the foundation of many exciting and cutting-edge topics, technologies and applications. This covers AI, Big Data, and Cybersecurity, which span almost every aspect of our lives; from smartphone app development, to the self-driving assistance that revolutionises the safety and efficiency of our transport systems.Due to the pandemic, computer-related skills have become more and more important with the requirements of working remotely. Converting to Computer Science could develop your problem-solving and practical skills. You will also establish specialist knowledge on tools and techniques for creating intelligent algorithms and software.	September, January	Please see the university website for further information on fees for this course.		1 Year Full Time / 2 Years Part Time	Bradford	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/applied-computer-science-and-artificial-intelligence-msc/?i285d7565c71206
Applied Economics (Banking and Financial Markets), online MSc	University of Bath	University of Bath Online	Part time	From political uncertainty to finance and recruitment demands, economics is integral to everyday decision-making. The online MSc Applied Economics with Banking and Financial Markets takes you beyond the research papers and into the real world, giving you insights you can put into action from day one. The University of Bath is the first university in the UK to offer an online Master of Science in Applied Economics, and by emphasising practice over theory, we provide time-pressed professionals with the opportunity to further their career prospects in economics, banking, and finance.	September, January	Cost per 10 credits £722* (10% alumni discount). Fees are paid per unit. The MSc totals 180 credits. * Valid up to and including September 2023 intake. Tuition fees are liable to increase each January. You should budget for an increase of up to a maximum of 5% each year.		2 years and 6 months full time	Bath	United Kingdom		https://www.findamasters.com/masters-degrees/course/applied-economics-banking-and-financial-markets-online-msc/?i280d8352c56675
Applied Linguistics - MSc	University of Glasgow	College of Arts & Humanities	Full time	This Masters focuses on how linguistic research can help solve language-related problems in professional practice and public life. It is designed for you to become a research-led specialist in areas such as language and education, intercultural communication, language and politics and professional discourse. You will design and undertake your own applied research project as part of this	September	Please see the university website for further information on fees for this course.		1 year full-time; 2 years part-time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/applied-linguistics-msc/?i307d4953c55536
Applied Mathematics MSc	University of Groningen	Science and Engineering	Full time	Why does one car have more air resistance than another? How can the frequency of the electric power smart grid be kept constant under external disturbances?Applied Mathematics is concerned with the development and application of mathematical tools for the analysis and design of dynamical systems that appear in modern technology. Mathematical modelling of the problems appearing there plays a basic role, followed by (numerical) analysis, (computer) simulation, and design of controllers to make the systems behave according to the desired specifications. Interaction with other disciplines and with specialists in the fields of application is essential.	September, February	Please see the university website for further information on fees for this course.		2 years full time	Groningen	Netherlands	On Campus	https://www.findamasters.com/masters-degrees/course/applied-mathematics-msc/?i1114d7105c37541
Applied Neuroscience Online | MSc, PG Dip	King’s College London	KCL Online	Part time	Explore neuroscience in relation to mental health, disease and treatment with the world-renowned Institute of Psychiatry, Psychology & Neuroscience, 100% online. Discover the course today!Thiscutting-edge master's programmefrom King's College London is designed to help you develop a comprehensive understanding of the neuroscientific field and explore areas of applied neuroscience such as neuroimaging, and psychological and neurodevelopmental illnesses.From the research lab to marketing and games design - learn about the applications of this emerging science in real-world settings and understand the mechanisms and treatments of various diseases of the brain and nervous system.	See Course	See course fees section		See Programme Description	London	United Kingdom		https://www.findamasters.com/masters-degrees/course/applied-neuroscience-online-msc-pg-dip/?i132d8371c59808
Applied Physics MSc	University of Groningen	Science and Engineering	Full time	Do you want to contribute to the development of computer devices that operate like a human brain? Design semi-conductor materials for the future's high-efficiency solar cells? Create an anti-icing coating for drones and airplanes? Fabricate materials that transform waste heat into electricity?Understand why ceramic micro-/nanostructures do not break easily? Make graphene nano-devices for next-generation high-speed electronics?	February, September	Please see the university website for further information on fees for this course.		2 years full time	Groningen	Netherlands	On Campus	https://www.findamasters.com/masters-degrees/course/applied-physics-msc/?i1114d7105c37542
Applied Statistical Modelling & Health Informatics MSc, PGCert, PGDip	King’s College London	Institute of Psychiatry, Psychology and Neuroscience	Full time	The Applied Statistical Modelling and Health Informatics course has been created to deliver a skill set and knowledge base in “multimodal” and “big data” analysis techniques, which are a recognised scarcity within UK Life sciences.You will receive world-class training in core applied statistical methodology, machine learning and computational methodology, and you will have the opportunity to apply your skills to real-life settings facilitated by the world-leading Institute of Psychiatry, Psychology & Neuroscience.	See Course	Please see the university website for further information on fees for this course.		Full-time: 1 year	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/applied-statistical-modelling-and-health-informatics-msc-pgcert-pgdip/?i132d4318c55179
Applied Statistics (online) MSc	University of Strathclyde	Department of Mathematics and Statistics	Part time	Ouronline MSc in Applied Statisticsis a conversion course, offering the opportunity to develop skills in statistics and data analysis even if you have never studied statistics before.You'll be supported through this programme by members of staff who work directly with industry to develop skills which are relevant to current areas of research including population health and medicine, animal and plant health, finance and business. Modules are delivered entirely online, giving students the flexibility to study at times that suit them. You'll gain skills in:	September, January	Please see the university website for further information on fees for this course.		24 or 36 months	Glasgow	United Kingdom		https://www.findamasters.com/masters-degrees/course/applied-statistics-online-msc/?i353d6511c65071
Archaeology - MSc	University of Glasgow	College of Arts & Humanities	Full time	This Masters programme will enable you to develop your own holistic approach to the challenges of contemporary archaeological research and practice. The programme combines conceptual learning with independent research and project-based work. A key strength of this programme is its flexibility, which allows you to create a portfolio of courses based on your individual needs and	September	Please see the university website for further information on fees for this course.		1 year full-time; 2 years part-time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/archaeology-msc/?i307d4953c55533
Architecture - MSc	University of Oulu	Master’s Programmes	Full time	Study a two-year design-oriented master's degree in Architecture at the northernmost architecture school in the world to get a professional architect degree valid across	September	For information on tuition fees and information on scholarships please visit Please see the university website for further information on fees for this course.		2 years full-time	Oulu	Finland	On Campus	https://www.findamasters.com/masters-degrees/course/architecture-msc/?i1454d7693c49344
Artificial Intelligence MSc / PGCert	University of Leeds	Leeds Online		Designed and delivered by computer scientists, the innovative online Artificial Intelligence MSc and Postgraduate Certificate (PGCert)from the University of Leeds is designed specifically for professionals who recognise the importance of artificial intelligence (AI) to their sector.Purely AI focused and covering an extensive range of AI and machine learning tools and techniques, students will evaluate the risks and opportunities associated with modern AI technologies and market approaches. This will help prepare them to influence strategies in their own organisations which drive business efficiencies.	See Course	Course starting between 1 September 2023 - 31 August 2024  MSc: £15,000 PGCert: £5,800  Applicants will have the option to pay their fees on a module-by-module basis. However, this is not an option if your fees are being paid directly to the University by your employer or sponsor.		2-4 years	Leeds	United Kingdom		https://www.findamasters.com/masters-degrees/course/artificial-intelligence-msc-pgcert/?i321d8597c64297
Astronomy MSc	University of Groningen	Science and Engineering	Full time	A Master's degree in Astronomy is a gateway into a wide world of science and technology.Students are trained by astronomers from the world-renowned Kapteyn Astronomical Institute, a centre leading in astronomical research on galaxy formation and evolution, cosmology, star and planet formation, neutron stars and black holes.The two-year curriculum of the Master's degree can be tailored according to your own interests and capabilities. The wide range of options include the possibility to focus on observational astronomy, theoretical astronomy, astronomical instrumentation and informatics, data science or astronomy teaching.	September	Please see the university website for further information on fees for this course.		2 years full time	Groningen	Netherlands	On Campus	https://www.findamasters.com/masters-degrees/course/astronomy-msc/?i1114d7105c37545
Astrophysics - MSc	University of Leeds	School of Physics and Astronomy	Full time	Astrophysics is the study of the Universe in all its complexity, from the formation of planets to the large-scale processes driving the evolution of galaxies over cosmic time. Astrophysics is a highly sought-after discipline that encourages the development of novel methods and techniques, placing you at the cutting edge of new discoveries. If you have a sense of wonder at our place in the Universe and how planets, stars and galaxies came to be then this is the right course for	September	UK: £13,500 (Total) International: £31,000 (Total)		1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/astrophysics-msc/?i321d1037c71837
